
########################################################################
#      Date:           Mon 26 Dec 2022 08:27:43 PM PST
#    Job ID:           2105873.v-qsvr-1.aidevcloud
#      User:           u173946
# Resources:           cput=75:00:00,neednodes=1:gpu:ppn=2,nodes=1:gpu:ppn=2,walltime=06:00:00
########################################################################

## u173946 is compiling DPCPP_Essentials Module1 -- oneAPI Intro sample - 1 of 1 simple.cpp
Device: Intel(R) UHD Graphics [0x9a60]
local_mem_size: 65536
Compute units: 32
Work group size: 512
Supported Sub-Group Sizes : 8 16 32 
nonzero: 10000, numRows: 10000, mean: 1, LightSpMV2: 0.000143278 sec.
nonzero: 10000, numRows: 10000, mean: 1, LightSpMV4: 0.00016892 sec.
nonzero: 10000, numRows: 10000, mean: 1, LightSpMV8: 0.000243285 sec.
nonzero: 10000, numRows: 10000, mean: 1, LightSpMV16: 0.000405457 sec.
nonzero: 10000, numRows: 10000, mean: 1, LightSpMV32: 0.000750596 sec.
nonzero: 20000, numRows: 10000, mean: 2, LightSpMV2: 0.000147671 sec.
nonzero: 20000, numRows: 10000, mean: 2, LightSpMV4: 0.000175077 sec.
nonzero: 20000, numRows: 10000, mean: 2, LightSpMV8: 0.000246513 sec.
nonzero: 20000, numRows: 10000, mean: 2, LightSpMV16: 0.000413831 sec.
nonzero: 20000, numRows: 10000, mean: 2, LightSpMV32: 0.000777469 sec.
nonzero: 30000, numRows: 10000, mean: 3, LightSpMV2: 0.000156667 sec.
nonzero: 30000, numRows: 10000, mean: 3, LightSpMV4: 0.000180593 sec.
nonzero: 30000, numRows: 10000, mean: 3, LightSpMV8: 0.000248687 sec.
nonzero: 30000, numRows: 10000, mean: 3, LightSpMV16: 0.000416967 sec.
nonzero: 30000, numRows: 10000, mean: 3, LightSpMV32: 0.000788384 sec.
nonzero: 40000, numRows: 10000, mean: 4, LightSpMV2: 0.000161678 sec.
nonzero: 40000, numRows: 10000, mean: 4, LightSpMV4: 0.000184648 sec.
nonzero: 40000, numRows: 10000, mean: 4, LightSpMV8: 0.000251174 sec.
nonzero: 40000, numRows: 10000, mean: 4, LightSpMV16: 0.000420371 sec.
nonzero: 40000, numRows: 10000, mean: 4, LightSpMV32: 0.000794364 sec.
nonzero: 50000, numRows: 10000, mean: 5, LightSpMV2: 0.000169474 sec.
nonzero: 50000, numRows: 10000, mean: 5, LightSpMV4: 0.000190067 sec.
nonzero: 50000, numRows: 10000, mean: 5, LightSpMV8: 0.000256418 sec.
nonzero: 50000, numRows: 10000, mean: 5, LightSpMV16: 0.000422983 sec.
nonzero: 50000, numRows: 10000, mean: 5, LightSpMV32: 0.000801567 sec.
nonzero: 60000, numRows: 10000, mean: 6, LightSpMV2: 0.000174711 sec.
nonzero: 60000, numRows: 10000, mean: 6, LightSpMV4: 0.000195678 sec.
nonzero: 60000, numRows: 10000, mean: 6, LightSpMV8: 0.000263816 sec.
nonzero: 60000, numRows: 10000, mean: 6, LightSpMV16: 0.000424246 sec.
nonzero: 60000, numRows: 10000, mean: 6, LightSpMV32: 0.000804704 sec.
nonzero: 70000, numRows: 10000, mean: 7, LightSpMV2: 0.000182138 sec.
nonzero: 70000, numRows: 10000, mean: 7, LightSpMV4: 0.000201129 sec.
nonzero: 70000, numRows: 10000, mean: 7, LightSpMV8: 0.000270467 sec.
