
########################################################################
#      Date:           Tue 27 Dec 2022 01:22:54 AM PST
#    Job ID:           2106084.v-qsvr-1.aidevcloud
#      User:           u173946
# Resources:           cput=75:00:00,neednodes=1:gpu:ppn=2,nodes=1:gpu:ppn=2,walltime=06:00:00
########################################################################

## u173946 is compiling DPCPP_Essentials Module1 -- oneAPI Intro sample - 1 of 1 simple.cpp
Device: Intel(R) UHD Graphics [0x9a60]
local_mem_size: 65536
Compute units: 32
Work group size: 512
Supported Sub-Group Sizes : 8 16 32 
nonzero: 28800000, numRows: 10000, mean: 2880, LightSpMV4: 0.0176387 sec.
nonzero: 28800000, numRows: 10000, mean: 2880, LightSpMV8: 0.0166761 sec.
nonzero: 28800000, numRows: 10000, mean: 2880, LightSpMV16: 0.0158562 sec.
nonzero: 28800000, numRows: 10000, mean: 2880, LightSpMV32: 0.0158757 sec.
nonzero: 29440000, numRows: 10000, mean: 2944, LightSpMV2: 0.0234728 sec.
nonzero: 29440000, numRows: 10000, mean: 2944, LightSpMV4: 0.0179666 sec.
nonzero: 29440000, numRows: 10000, mean: 2944, LightSpMV8: 0.0169607 sec.
nonzero: 29440000, numRows: 10000, mean: 2944, LightSpMV16: 0.0161237 sec.
nonzero: 29440000, numRows: 10000, mean: 2944, LightSpMV32: 0.0161388 sec.
nonzero: 30080000, numRows: 10000, mean: 3008, LightSpMV2: 0.0241474 sec.
nonzero: 30080000, numRows: 10000, mean: 3008, LightSpMV4: 0.0184641 sec.
nonzero: 30080000, numRows: 10000, mean: 3008, LightSpMV8: 0.0175204 sec.
nonzero: 30080000, numRows: 10000, mean: 3008, LightSpMV16: 0.0167612 sec.
nonzero: 30080000, numRows: 10000, mean: 3008, LightSpMV32: 0.0167905 sec.
nonzero: 30720000, numRows: 10000, mean: 3072, LightSpMV2: 0.0245223 sec.
nonzero: 30720000, numRows: 10000, mean: 3072, LightSpMV4: 0.0187318 sec.
nonzero: 30720000, numRows: 10000, mean: 3072, LightSpMV8: 0.0177853 sec.
nonzero: 30720000, numRows: 10000, mean: 3072, LightSpMV16: 0.0169776 sec.
nonzero: 30720000, numRows: 10000, mean: 3072, LightSpMV32: 0.0169914 sec.
nonzero: 31360000, numRows: 10000, mean: 3136, LightSpMV2: 0.0250041 sec.
nonzero: 31360000, numRows: 10000, mean: 3136, LightSpMV4: 0.0190895 sec.
nonzero: 31360000, numRows: 10000, mean: 3136, LightSpMV8: 0.0181115 sec.
nonzero: 31360000, numRows: 10000, mean: 3136, LightSpMV16: 0.0172594 sec.
nonzero: 31360000, numRows: 10000, mean: 3136, LightSpMV32: 0.0171875 sec.
nonzero: 32000000, numRows: 10000, mean: 3200, LightSpMV2: 0.0256978 sec.
nonzero: 32000000, numRows: 10000, mean: 3200, LightSpMV4: 0.0194511 sec.
nonzero: 32000000, numRows: 10000, mean: 3200, LightSpMV8: 0.0184482 sec.
nonzero: 32000000, numRows: 10000, mean: 3200, LightSpMV16: 0.0175206 sec.
nonzero: 32000000, numRows: 10000, mean: 3200, LightSpMV32: 0.0175037 sec.
nonzero: 32640000, numRows: 10000, mean: 3264, LightSpMV2: 0.0260394 sec.
nonzero: 32640000, numRows: 10000, mean: 3264, LightSpMV4: 0.0198979 sec.
nonzero: 32640000, numRows: 10000, mean: 3264, LightSpMV8: 0.0188939 sec.
nonzero: 32640000, numRows: 10000, mean: 3264, LightSpMV16: 0.018032 sec.
nonzero: 32640000, numRows: 10000, mean: 3264, LightSpMV32: 0.0180279 sec.
nonzero: 33280000, numRows: 10000, mean: 3328, LightSpMV2: 0.0265555 sec.
nonzero: 33280000, numRows: 10000, mean: 3328, LightSpMV4: 0.0203494 sec.
nonzero: 33280000, numRows: 10000, mean: 3328, LightSpMV8: 0.0193099 sec.
nonzero: 33280000, numRows: 10000, mean: 3328, LightSpMV16: 0.0184372 sec.
nonzero: 33280000, numRows: 10000, mean: 3328, LightSpMV32: 0.0184001 sec.
nonzero: 33920000, numRows: 10000, mean: 3392, LightSpMV2: 0.0270174 sec.
nonzero: 33920000, numRows: 10000, mean: 3392, LightSpMV4: 0.0206416 sec.
nonzero: 33920000, numRows: 10000, mean: 3392, LightSpMV8: 0.0196618 sec.
nonzero: 33920000, numRows: 10000, mean: 3392, LightSpMV16: 0.0187533 sec.
nonzero: 33920000, numRows: 10000, mean: 3392, LightSpMV32: 0.0187139 sec.
nonzero: 34560000, numRows: 10000, mean: 3456, LightSpMV2: 0.0275939 sec.
nonzero: 34560000, numRows: 10000, mean: 3456, LightSpMV4: 0.0210802 sec.
nonzero: 34560000, numRows: 10000, mean: 3456, LightSpMV8: 0.019933 sec.
nonzero: 34560000, numRows: 10000, mean: 3456, LightSpMV16: 0.0189741 sec.
nonzero: 34560000, numRows: 10000, mean: 3456, LightSpMV32: 0.0189456 sec.
nonzero: 35200000, numRows: 10000, mean: 3520, LightSpMV2: 0.0283578 sec.
nonzero: 35200000, numRows: 10000, mean: 3520, LightSpMV4: 0.0217651 sec.
nonzero: 35200000, numRows: 10000, mean: 3520, LightSpMV8: 0.0206813 sec.
nonzero: 35200000, numRows: 10000, mean: 3520, LightSpMV16: 0.0198401 sec.
nonzero: 35200000, numRows: 10000, mean: 3520, LightSpMV32: 0.0196597 sec.
nonzero: 35840000, numRows: 10000, mean: 3584, LightSpMV2: 0.0285629 sec.
nonzero: 35840000, numRows: 10000, mean: 3584, LightSpMV4: 0.0219266 sec.
nonzero: 35840000, numRows: 10000, mean: 3584, LightSpMV8: 0.020878 sec.
nonzero: 35840000, numRows: 10000, mean: 3584, LightSpMV16: 0.0200215 sec.
