
########################################################################
#      Date:           Tue 27 Dec 2022 09:22:43 PM PST
#    Job ID:           2107335.v-qsvr-1.aidevcloud
#      User:           u173946
# Resources:           cput=75:00:00,neednodes=1:gpu:ppn=2,nodes=1:gpu:ppn=2,walltime=06:00:00
########################################################################

## u173946 is compiling DPCPP_Essentials Module1 -- oneAPI Intro sample - 1 of 1 simple.cpp
Device: Intel(R) UHD Graphics [0x9a60]
local_mem_size: 65536
Compute units: 32
Work group size: 32
Supported Sub-Group Sizes : 8 16 32 
nonzero: 800000, numRows: 10000, mean: 80, LightSpMV: 0.000633863 sec.
nonzero: 820000, numRows: 10000, mean: 82, LightSpMV: 0.000647289 sec.
nonzero: 840000, numRows: 10000, mean: 84, LightSpMV: 0.00065756 sec.
nonzero: 860000, numRows: 10000, mean: 86, LightSpMV: 0.00066545 sec.
nonzero: 880000, numRows: 10000, mean: 88, LightSpMV: 0.000681393 sec.
nonzero: 900000, numRows: 10000, mean: 90, LightSpMV: 0.000686166 sec.
nonzero: 920000, numRows: 10000, mean: 92, LightSpMV: 0.000698454 sec.
nonzero: 940000, numRows: 10000, mean: 94, LightSpMV: 0.000711564 sec.
nonzero: 960000, numRows: 10000, mean: 96, LightSpMV: 0.000720668 sec.
nonzero: 980000, numRows: 10000, mean: 98, LightSpMV: 0.000723491 sec.
nonzero: 1000000, numRows: 10000, mean: 100, LightSpMV: 0.000735592 sec.
nonzero: 1020000, numRows: 10000, mean: 102, LightSpMV: 0.000750042 sec.
nonzero: 1040000, numRows: 10000, mean: 104, LightSpMV: 0.000750143 sec.
nonzero: 1060000, numRows: 10000, mean: 106, LightSpMV: 0.000763023 sec.
nonzero: 1080000, numRows: 10000, mean: 108, LightSpMV: 0.000772686 sec.
nonzero: 1100000, numRows: 10000, mean: 110, LightSpMV: 0.000780566 sec.
nonzero: 1120000, numRows: 10000, mean: 112, LightSpMV: 0.000789924 sec.
nonzero: 1140000, numRows: 10000, mean: 114, LightSpMV: 0.000796985 sec.
nonzero: 1160000, numRows: 10000, mean: 116, LightSpMV: 0.000810188 sec.
nonzero: 1180000, numRows: 10000, mean: 118, LightSpMV: 0.000821235 sec.
nonzero: 1200000, numRows: 10000, mean: 120, LightSpMV: 0.000831298 sec.
nonzero: 1220000, numRows: 10000, mean: 122, LightSpMV: 0.000840615 sec.
nonzero: 1240000, numRows: 10000, mean: 124, LightSpMV: 0.000848792 sec.
nonzero: 1260000, numRows: 10000, mean: 126, LightSpMV: 0.000863023 sec.
nonzero: 1280000, numRows: 10000, mean: 128, LightSpMV: 0.000870407 sec.
nonzero: 1360000, numRows: 10000, mean: 136, LightSpMV: 0.000904778 sec.
nonzero: 1440000, numRows: 10000, mean: 144, LightSpMV: 0.000941565 sec.
nonzero: 1520000, numRows: 10000, mean: 152, LightSpMV: 0.000977901 sec.
nonzero: 1600000, numRows: 10000, mean: 160, LightSpMV: 0.00102335 sec.
nonzero: 1680000, numRows: 10000, mean: 168, LightSpMV: 0.00106239 sec.
nonzero: 1760000, numRows: 10000, mean: 176, LightSpMV: 0.00110872 sec.
nonzero: 1840000, numRows: 10000, mean: 184, LightSpMV: 0.00114136 sec.
nonzero: 1920000, numRows: 10000, mean: 192, LightSpMV: 0.00119565 sec.
nonzero: 2000000, numRows: 10000, mean: 200, LightSpMV: 0.00123011 sec.
nonzero: 2080000, numRows: 10000, mean: 208, LightSpMV: 0.00127274 sec.
nonzero: 2160000, numRows: 10000, mean: 216, LightSpMV: 0.00133103 sec.
nonzero: 2240000, numRows: 10000, mean: 224, LightSpMV: 0.00138332 sec.
nonzero: 2320000, numRows: 10000, mean: 232, LightSpMV: 0.00138921 sec.
nonzero: 2400000, numRows: 10000, mean: 240, LightSpMV: 0.0014918 sec.
nonzero: 2480000, numRows: 10000, mean: 248, LightSpMV: 0.00152747 sec.
